SALES_YEAR,COUNTRY_OR_TERRITORY,TIRE_SIZE,RIM_SIZE,TOTAL_INDUSTRY_SALES,SOM_OF_SIZES,GOODYEAR_SALES,OTHERS_SALES,SOM_OF_BRAND,BRAND_NAME,DESIGN_NAME,BRAND_TYPE,GOODYEAR_BRAND_SALES,GOODYEAR_PATTERN_SALES,GOODYEAR_PATTERN_RANK_BY_SIZE_BRAND,COMPETITOR_BRAND,COMPETITOR_BRAND_SALES,COMPETITOR_SOM,COMPETITOR_PATTERN,COMPETITOR_PATTERN_SALES,COMPETITOR_PATTERN_RANK_BY_SIZE_BRAND,TOP_5_FITMENTS
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Toyo,42.3466,3.121856527e-05,PROXES C100 PLUS SUV,42.3466,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Sunfull,46.8323,3.452549235e-05,MONT-PRO HP881,46.8323,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Boto,47.3477,3.490545316e-05,ACROSER300,47.3477,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Centara,53.0670,3.912180914e-05,GRAND TOURER H/T,53.0670,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Ilink,63.4057,4.674365791e-05,L-ZEAL 56,63.4057,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Fronway,67.1430,4.949885299e-05,EURUS 08,67.1430,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Westlake,71.4261,5.265642023e-05,SU318A H/T,71.4261,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Luxxan,73.4314,5.413475825e-05,INSPIRER S4,73.4314,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Durun,77.2768,5.696964631e-05,RW501,77.2768,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Viking,82.5182,6.083368706e-05,WINTECH WT6,46.8008,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
